algorithm,version,dataset_size,dataset_type,num_threads,execution_time,is_sorted,timestamp
bubble,serial,100,random,1,0,003304,true,1762172524220
quick,serial,100,random,1,0,014453,true,1762172524240
merge,serial,100,random,1,0,002216,true,1762172524242
insertion,serial,100,random,1,0,001879,true,1762172524248
bubble,parallel,100,random,2,0,004138,true,1762172524252
quick,parallel,100,random,2,0,008888,true,1762172524264
merge,parallel,100,random,2,0,003151,true,1762172524264
insertion,parallel,100,random,2,0,004306,true,1762172524274
bubble,parallel,100,random,4,0,000318,true,1762172524274
quick,parallel,100,random,4,0,002502,true,1762172524278
merge,parallel,100,random,4,0,000260,true,1762172524278
insertion,parallel,100,random,4,0,000129,true,1762172524278
bubble,serial,100,random,1,0,000443,true,1762172524280
quick,serial,100,random,1,0,002024,true,1762172524280
merge,serial,100,random,1,0,000114,true,1762172524280
insertion,serial,100,random,1,0,000153,true,1762172524284
bubble,parallel,100,random,2,0,000467,true,1762172524284
quick,parallel,100,random,2,0,002346,true,1762172524287
merge,parallel,100,random,2,0,000247,true,1762172524289
insertion,parallel,100,random,2,0,000183,true,1762172524289
bubble,parallel,100,random,4,0,000448,true,1762172524291
quick,parallel,100,random,4,0,001656,true,1762172524293
merge,parallel,100,random,4,0,000125,true,1762172524293
insertion,parallel,100,random,4,0,000165,true,1762172524296
bubble,serial,100,random,1,0,000392,true,1762172524296
quick,serial,100,random,1,0,000871,true,1762172524296
merge,serial,100,random,1,0,000255,true,1762172524296
insertion,serial,100,random,1,0,000162,true,1762172524296
bubble,parallel,100,random,2,0,000401,true,1762172524296
quick,parallel,100,random,2,0,000942,true,1762172524296
merge,parallel,100,random,2,0,000090,true,1762172524296
insertion,parallel,100,random,2,0,000183,true,1762172524296
bubble,parallel,100,random,4,0,000466,true,1762172524296
quick,parallel,100,random,4,0,000873,true,1762172524296
merge,parallel,100,random,4,0,000112,true,1762172524310
insertion,parallel,100,random,4,0,000324,true,1762172524310
bubble,serial,100,sorted,1,0,000364,true,1762172524312
quick,serial,100,sorted,1,0,000579,true,1762172524314
merge,serial,100,sorted,1,0,000063,true,1762172524314
insertion,serial,100,sorted,1,0,000025,true,1762172524316
bubble,parallel,100,sorted,2,0,000305,true,1762172524316
quick,parallel,100,sorted,2,0,000408,true,1762172524318
merge,parallel,100,sorted,2,0,000046,true,1762172524318
insertion,parallel,100,sorted,2,0,000028,true,1762172524320
bubble,parallel,100,sorted,4,0,000299,true,1762172524320
quick,parallel,100,sorted,4,0,000423,true,1762172524320
merge,parallel,100,sorted,4,0,000132,true,1762172524322
insertion,parallel,100,sorted,4,0,000027,true,1762172524322
bubble,serial,100,sorted,1,0,000340,true,1762172524322
quick,serial,100,sorted,1,0,000450,true,1762172524324
merge,serial,100,sorted,1,0,000050,true,1762172524324
insertion,serial,100,sorted,1,0,000030,true,1762172524324
bubble,parallel,100,sorted,2,0,000110,true,1762172524326
quick,parallel,100,sorted,2,0,000417,true,1762172524326
merge,parallel,100,sorted,2,0,000083,true,1762172524327
insertion,parallel,100,sorted,2,0,000025,true,1762172524327
bubble,parallel,100,sorted,4,0,000113,true,1762172524327
quick,parallel,100,sorted,4,0,000385,true,1762172524329
merge,parallel,100,sorted,4,0,000086,true,1762172524329
insertion,parallel,100,sorted,4,0,000024,true,1762172524329
bubble,serial,100,sorted,1,0,000134,true,1762172524329
quick,serial,100,sorted,1,0,000422,true,1762172524332
merge,serial,100,sorted,1,0,000069,true,1762172524332
insertion,serial,100,sorted,1,0,000024,true,1762172524332
bubble,parallel,100,sorted,2,0,000089,true,1762172524334
quick,parallel,100,sorted,2,0,000357,true,1762172524334
merge,parallel,100,sorted,2,0,000099,true,1762172524334
insertion,parallel,100,sorted,2,0,000024,true,1762172524336
bubble,parallel,100,sorted,4,0,000056,true,1762172524336
quick,parallel,100,sorted,4,0,000372,true,1762172524336
merge,parallel,100,sorted,4,0,000058,true,1762172524338
insertion,parallel,100,sorted,4,0,000026,true,1762172524338
bubble,serial,500,random,1,0,001257,true,1762172524340
quick,serial,500,random,1,0,001959,true,1762172524342
merge,serial,500,random,1,0,000286,true,1762172524343
insertion,serial,500,random,1,0,003443,true,1762172524347
bubble,parallel,500,random,2,0,000831,true,1762172524349
quick,parallel,500,random,2,0,002201,true,1762172524352
merge,parallel,500,random,2,0,000946,true,1762172524354
insertion,parallel,500,random,2,0,003297,true,1762172524356
bubble,parallel,500,random,4,0,000787,true,1762172524359
quick,parallel,500,random,4,0,001828,true,1762172524361
merge,parallel,500,random,4,0,000353,true,1762172524363
insertion,parallel,500,random,4,0,000460,true,1762172524363
bubble,serial,500,random,1,0,000587,true,1762172524365
quick,serial,500,random,1,0,001967,true,1762172524367
merge,serial,500,random,1,0,000269,true,1762172524367
insertion,serial,500,random,1,0,000447,true,1762172524369
bubble,parallel,500,random,2,0,000720,true,1762172524371
quick,parallel,500,random,2,0,002197,true,1762172524373
merge,parallel,500,random,2,0,000271,true,1762172524373
insertion,parallel,500,random,2,0,000512,true,1762172524375
bubble,parallel,500,random,4,0,000609,true,1762172524375
quick,parallel,500,random,4,0,002046,true,1762172524379
merge,parallel,500,random,4,0,000271,true,1762172524379
insertion,parallel,500,random,4,0,000381,true,1762172524379
bubble,serial,500,random,1,0,000664,true,1762172524381
quick,serial,500,random,1,0,001947,true,1762172524383
merge,serial,500,random,1,0,000259,true,1762172524383
insertion,serial,500,random,1,0,000352,true,1762172524385
bubble,parallel,500,random,2,0,000587,true,1762172524385
quick,parallel,500,random,2,0,001951,true,1762172524387
merge,parallel,500,random,2,0,000329,true,1762172524393
insertion,parallel,500,random,2,0,000346,true,1762172524393
bubble,parallel,500,random,4,0,000520,true,1762172524395
quick,parallel,500,random,4,0,002115,true,1762172524399
merge,parallel,500,random,4,0,000386,true,1762172524401
insertion,parallel,500,random,4,0,000268,true,1762172524412
bubble,serial,500,sorted,1,0,000132,true,1762172524413
quick,serial,500,sorted,1,0,001441,true,1762172524414
merge,serial,500,sorted,1,0,000231,true,1762172524415
insertion,serial,500,sorted,1,0,000014,true,1762172524415
bubble,parallel,500,sorted,2,0,000126,true,1762172524415
quick,parallel,500,sorted,2,0,001471,true,1762172524417
merge,parallel,500,sorted,2,0,000208,true,1762172524417
insertion,parallel,500,sorted,2,0,000014,true,1762172524418
bubble,parallel,500,sorted,4,0,000136,true,1762172524418
quick,parallel,500,sorted,4,0,001335,true,1762172524420
merge,parallel,500,sorted,4,0,000297,true,1762172524420
insertion,parallel,500,sorted,4,0,000023,true,1762172524421
bubble,serial,500,sorted,1,0,000146,true,1762172524422
quick,serial,500,sorted,1,0,001343,true,1762172524423
merge,serial,500,sorted,1,0,000254,true,1762172524424
insertion,serial,500,sorted,1,0,000014,true,1762172524424
bubble,parallel,500,sorted,2,0,000280,true,1762172524424
quick,parallel,500,sorted,2,0,002120,true,1762172524427
merge,parallel,500,sorted,2,0,000323,true,1762172524428
insertion,parallel,500,sorted,2,0,000020,true,1762172524428
bubble,parallel,500,sorted,4,0,000132,true,1762172524428
quick,parallel,500,sorted,4,0,001521,true,1762172524430
merge,parallel,500,sorted,4,0,000614,true,1762172524432
insertion,parallel,500,sorted,4,0,000017,true,1762172524432
bubble,serial,500,sorted,1,0,000153,true,1762172524432
quick,serial,500,sorted,1,0,002016,true,1762172524434
merge,serial,500,sorted,1,0,000258,true,1762172524434
insertion,serial,500,sorted,1,0,000010,true,1762172524436
bubble,parallel,500,sorted,2,0,000138,true,1762172524436
quick,parallel,500,sorted,2,0,001591,true,1762172524438
merge,parallel,500,sorted,2,0,000201,true,1762172524440
insertion,parallel,500,sorted,2,0,000012,true,1762172524440
bubble,parallel,500,sorted,4,0,000149,true,1762172524440
quick,parallel,500,sorted,4,0,002265,true,1762172524442
merge,parallel,500,sorted,4,0,000298,true,1762172524444
insertion,parallel,500,sorted,4,0,000013,true,1762172524444
bubble,serial,1000,random,1,0,001952,true,1762172524446
quick,serial,1000,random,1,0,003727,true,1762172524451
merge,serial,1000,random,1,0,000492,true,1762172524451
insertion,serial,1000,random,1,0,000233,true,1762172524453
bubble,parallel,1000,random,2,0,006531,true,1762172524460
quick,parallel,1000,random,2,0,005214,true,1762172524466
merge,parallel,1000,random,2,0,000723,true,1762172524470
insertion,parallel,1000,random,2,0,002254,true,1762172524474
bubble,parallel,1000,random,4,0,001939,true,1762172524478
quick,parallel,1000,random,4,0,003900,true,1762172524482
merge,parallel,1000,random,4,0,000861,true,1762172524484
insertion,parallel,1000,random,4,0,000328,true,1762172524484
bubble,serial,1000,random,1,0,002350,true,1762172524487
quick,serial,1000,random,1,0,003360,true,1762172524491
merge,serial,1000,random,1,0,000641,true,1762172524493
insertion,serial,1000,random,1,0,000661,true,1762172524495
bubble,parallel,1000,random,2,0,002683,true,1762172524497
quick,parallel,1000,random,2,0,003338,true,1762172524500
merge,parallel,1000,random,2,0,000594,true,1762172524502
insertion,parallel,1000,random,2,0,000268,true,1762172524502
bubble,parallel,1000,random,4,0,001872,true,1762172524505
quick,parallel,1000,random,4,0,003229,true,1762172524509
merge,parallel,1000,random,4,0,000452,true,1762172524511
insertion,parallel,1000,random,4,0,000271,true,1762172524511
bubble,serial,1000,random,1,0,001987,true,1762172524515
quick,serial,1000,random,1,0,003117,true,1762172524518
merge,serial,1000,random,1,0,001028,true,1762172524524
insertion,serial,1000,random,1,0,000265,true,1762172524524
bubble,parallel,1000,random,2,0,003727,true,1762172524528
quick,parallel,1000,random,2,0,003901,true,1762172524534
merge,parallel,1000,random,2,0,000467,true,1762172524536
insertion,parallel,1000,random,2,0,000308,true,1762172524536
bubble,parallel,1000,random,4,0,002189,true,1762172524542
quick,parallel,1000,random,4,0,012325,true,1762172524555
merge,parallel,1000,random,4,0,000326,true,1762172524555
insertion,parallel,1000,random,4,0,000197,true,1762172524555
bubble,serial,1000,sorted,1,0,000504,true,1762172524557
quick,serial,1000,sorted,1,0,001906,true,1762172524559
merge,serial,1000,sorted,1,0,000374,true,1762172524559
insertion,serial,1000,sorted,1,0,000015,true,1762172524559
bubble,parallel,1000,sorted,2,0,000634,true,1762172524561
quick,parallel,1000,sorted,2,0,002618,true,1762172524563
merge,parallel,1000,sorted,2,0,000320,true,1762172524564
insertion,parallel,1000,sorted,2,0,000017,true,1762172524564
bubble,parallel,1000,sorted,4,0,000504,true,1762172524564
quick,parallel,1000,sorted,4,0,002003,true,1762172524566
merge,parallel,1000,sorted,4,0,000459,true,1762172524568
insertion,parallel,1000,sorted,4,0,000027,true,1762172524568
bubble,serial,1000,sorted,1,0,000827,true,1762172524570
quick,serial,1000,sorted,1,0,001585,true,1762172524572
merge,serial,1000,sorted,1,0,000214,true,1762172524572
insertion,serial,1000,sorted,1,0,000013,true,1762172524572
bubble,parallel,1000,sorted,2,0,000464,true,1762172524572
quick,parallel,1000,sorted,2,0,001421,true,1762172524574
merge,parallel,1000,sorted,2,0,000221,true,1762172524574
insertion,parallel,1000,sorted,2,0,000014,true,1762172524574
bubble,parallel,1000,sorted,4,0,000453,true,1762172524576
quick,parallel,1000,sorted,4,0,001383,true,1762172524576
merge,parallel,1000,sorted,4,0,000259,true,1762172524578
insertion,parallel,1000,sorted,4,0,000015,true,1762172524578
bubble,serial,1000,sorted,1,0,000447,true,1762172524578
quick,serial,1000,sorted,1,0,001371,true,1762172524580
merge,serial,1000,sorted,1,0,000220,true,1762172524580
insertion,serial,1000,sorted,1,0,000019,true,1762172524580
bubble,parallel,1000,sorted,2,0,000566,true,1762172524582
quick,parallel,1000,sorted,2,0,003338,true,1762172524586
merge,parallel,1000,sorted,2,0,000410,true,1762172524586
insertion,parallel,1000,sorted,2,0,000029,true,1762172524586
bubble,parallel,1000,sorted,4,0,000584,true,1762172524588
quick,parallel,1000,sorted,4,0,001415,true,1762172524590
merge,parallel,1000,sorted,4,0,000266,true,1762172524590
insertion,parallel,1000,sorted,4,0,000021,true,1762172524590
